key,value,count
amenity,restaurant,2250
amenity,fast_food,1117
amenity,vending_machine,720
amenity,cafe,702
amenity,pub,655
amenity,post_box,649
amenity,parking,585
amenity,telephone,489
amenity,bank,469
amenity,pharmacy,436
amenity,fuel,415
amenity,bench,359
amenity,bicycle_parking,289
amenity,toilets,278
amenity,bar,266
amenity,dentist,221
amenity,place_of_worship,201
amenity,atm,198
amenity,clinic,143
amenity,parking_space,143
amenity,doctors,123
amenity,school,121
amenity,drinking_water,98
amenity,fitness_center,86
amenity,training,76
amenity,taxi,65
amenity,post_office,63
amenity,community_centre,58
amenity,hospital,56
amenity,recycling,54
amenity,public_building,52
amenity,kindergarten,51
amenity,car_rental,49
amenity,waste_basket,46
amenity,veterinary,42
amenity,university,39
amenity,ice_cream,39
amenity,motorcycle_parking,38
amenity,bbq,36
amenity,car_wash,34
amenity,clock,32
amenity,nightclub,30
amenity,car_sharing,28
amenity,townhall,27
amenity,library,27
amenity,police,26
amenity,parking_entrance,25
amenity,fountain,24
amenity,cinema,21
amenity,food_court,21
amenity,casino,21
amenity,shelter,20
amenity,college,20
amenity,grave_yard,19
amenity,fire_station,18
amenity,bicycle_rental,15
amenity,social_centre,14
amenity,theatre,14
amenity,marketplace,12
amenity,nursing_home,11
amenity,social_facility,11
amenity,bureau_de_change,11
amenity,studio,10
amenity,embassy,10
amenity,arts_centre,10
amenity,ferry_terminal,7
amenity,courthouse,6
amenity,ev_charging,6
amenity,compressed_air,5
amenity,prison,5
amenity,driving_school,4
amenity,biergarten,3
amenity,stripclub,3
amenity,boat_storage,2
amenity,sauna,2
amenity,shower,2
amenity,charging_station,1
amenity,hunting_stand,1
