key,value,count
cuisine,japanese,278
cuisine,noodle,209
cuisine,chinese,177
cuisine,american,152
cuisine,burger,142
cuisine,sushi,137
cuisine,coffee_shop,121
cuisine,italian,117
cuisine,pizza,110
cuisine,sandwich,69
cuisine,chicken,67
cuisine,mexican,61
cuisine,ramen,56
cuisine,indian,47
cuisine,thai,43
cuisine,curry,42
cuisine,french,35
cuisine,korean,33
cuisine,steak_house,32
cuisine,barbecue,28
cuisine,seafood,27
cuisine,doughnut,22
cuisine,asian,22
cuisine,greek,20
cuisine,spanish,20
cuisine,pasta,18
cuisine,mediterranean,16
cuisine,fish_and_chips,15
cuisine,fish,15
cuisine,ice_cream,14
cuisine,kebab,13
cuisine,cake,13
cuisine,vietnamese,13
cuisine,diner,13
cuisine,german,10
cuisine,crepe,9
cuisine,breakfast,8
cuisine,drinks,7
cuisine,bagel,7
cuisine,tapas,7
cuisine,latin_american,7
cuisine,irish,6
cuisine,international,5
cuisine,fried_food,5
cuisine,lebanese,4
cuisine,arab,4
cuisine,vegetarian,3
cuisine,regional,3
cuisine,brazilian,3
cuisine,deli,3
cuisine,caribbean,2
cuisine,yogurt,2
cuisine,turkish,2
cuisine,vegan,2
cuisine,iranian,2
cuisine,malaysian,2
cuisine,salad,2
cuisine,indonesian,2
cuisine,argentinian,1
cuisine,pie,1
cuisine,fondue,1
cuisine,cuban,1
cuisine,juice,1
cuisine,russian,1
cuisine,belgian,1
cuisine,cantonese,1
cuisine,soup,1
cuisine,sausage,1
cuisine,pancake,1
cuisine,gastronomic,1
