key,value,count
shop,convenience,925
shop,clothes,383
shop,hairdresser,338
shop,supermarket,332
shop,car,215
shop,kiosk,180
shop,bakery,138
shop,car_repair,120
shop,mobile_phone,108
shop,alcohol,108
shop,books,105
shop,beauty,105
shop,dry_cleaning,103
shop,florist,98
shop,shoes,97
shop,electronics,89
shop,confectionery,83
shop,bicycle,83
shop,sports,71
shop,optician,63
shop,deli,62
shop,gift,61
shop,car_parts,61
shop,laundry,60
shop,furniture,59
shop,butcher,57
shop,household,47
shop,doityourself,46
shop,department_store,46
shop,video,45
shop,massage,45
shop,variety_store,44
shop,general,38
shop,jewelry,38
shop,pet,37
shop,organic,37
shop,art,33
shop,boutique,32
shop,hardware,31
shop,gas,31
shop,motorcycle,31
shop,tobacco,30
shop,fishing,29
shop,computer,27
shop,antiques,25
shop,shopping_centre,25
shop,newsagent,24
shop,second_hand,23
shop,chemist,22
shop,copyshop,21
shop,interior_decoration,20
shop,photo,20
shop,toys,20
shop,mall,20
shop,office_supplies,19
shop,musical_instrument,19
shop,accessories,19
shop,hobby,19
shop,tea,19
shop,mobile_phones,19
shop,charity,18
shop,ticket,17
shop,bags,17
shop,stationery,17
shop,seafood,16
shop,bed,16
shop,video_games,15
shop,storage_units,15
shop,music,15
shop,tyres,14
shop,fabric,14
shop,tattoo,14
shop,fishmonger,13
shop,carpet,12
shop,wine,12
shop,pawnbroker,12
shop,outdoor,11
shop,candy,11
shop,money_lender,10
shop,golf,10
shop,appliance,9
shop,beverages,9
shop,medical_supply,9
shop,baby_goods,9
shop,sewing,8
shop,funeral_directors,8
shop,herbalist,8
shop,greengrocer,8
shop,paint,7
shop,watches,6
shop,vacant,6
shop,shoe_repair,5
shop,hifi,5
shop,kitchen,4
shop,signs,3
shop,party,3
shop,wedding,3
shop,erotic,3
shop,hunting,3
shop,hearing_aids,2
shop,tanning,2
shop,collector,2
shop,homeopathy,2
shop,tiles,1
shop,scuba_diving,1
shop,pest_control,1
shop,leather,1
shop,boat,1
