key,count
name,30531
amenity,18168
source,8714
shop,8265
addr:street,7899
addr:city,7668
addr:postcode,6364
addr:housenumber,6243
building,4823
cuisine,4055
addr:country,3829
addr:state,3460
wheelchair,2581
phone,2357
outdoor_seating,2238
highway,2085
takeaway,1825
website,1683
smoking,1514
atm,1466
internet_access,1462
operator,1348
opening_hours,1322
tourism,1215
drive_through,1143
building:levels,1041
covered,1031
leisure,910
description,907
brand,894
office,791
vending,612
delivery,554
food,462
parking,450
fee,428
capacity,411
surface,377
created_by,354
height,347
craft,313
man_made,311
power,305
religion,301
railway,294
note,287
contact:email,284
fixme,255
aeroway,246
source_ref,214
ref,212
historic,208
bicycle_parking,206
addr:unit,188
natural,180
ele,175
network,168
fax,164
gnis:feature_id,163
dispensing,161
sport,147
bridge,143
park_ride,136
barrier,129
denomination,129
access,123
car_wash,121
emergency,109
shelter,108
gnis:created,106
gnis:state_id,100
gnis:county_id,100
name:en,95
type,92
note:ja,92
KSJ2:ADS,86
KSJ2:PubFacAdmin,85
public_transport,85
area,82
addr:housename,80
bench,79
gnis:county_name,64
tactile_paving,63
name:ja,61
gnis:import_uuid,57
attribution,54
KSJ2:AdminArea,53
gnis:reviewed,53
fuel,53
landuse,50
int_name,44
place,41
traffic_calming,39
fuel:diesel,38
information,38
collection_time,36
waste_basket,33
addr:full,32
wikipedia,31
dataset,31
towards,31
wifi,31
name:ja_rm,30
contact:phone,26
alt_name,26
waterway,26
fuel:octane_95,25
designation,24
is_in,24
addr:street:name,24
dcgis:captureyear,24
addr:street:type,23
layer,23
url,22
email,21
branch,21
name:ru,20
fuel:octane_98,20
bus,20
local_ref,18
lit,17
shelter:operator,17
naptan:AtcoCode,16
recycling:glass,15
dcgis:square,14
dcgis:lot,14
source:date,14
old_name,14
fuel:lpg,14
naptan:Bearing,13
route_ref,13
survey:date,13
naptan:CommonName,13
board_type,12
fuel:octane_91,12
straeto:BUSFASTNR,12
postal_code,12
internet_access:fee,11
recycling:paper,11
naptan:verified,11
naptan:Indicator,11
chicago:building_id,11
start_date,11
dcgis:featurecode,11
smoking:outside,10
contact:website,10
addr:letter,10
name:ja_kana,10
stars,10
wheelchair:description,10
note:orange,10
shelter:ref,9
is_in:state,9
mappingdc:gid,9
FIXME,9
is_in:city,9
source:name,9
organic,9
dcgis:dataset,9
naptan:Street,9
gnis:edited,8
level,8
dcgis:gis_id,8
recycling_type,8
levels,7
maxstay,7
iata,7
serves_food,7
recycling:clothes,7
wall,7
cuisine:ja,7
fuel:cng,7
fuel:octane_92,7
landmark:name,7
KSJ2:coordinate,6
icao,6
KSJ2:OPC,6
KSJ2:STN,6
KSJ2:INT_label,6
KSJ2:RAC,6
road_sign,6
KSJ2:INT,6
gnis:feature_type,6
KSJ2:RAC_label,6
fuel:biodiesel,6
KSJ2:LIN,6
KSJ2:lat,6
source:height,6
toilets,6
gÌ¦tuskrÌÁ:id,6
addr:street:prefix,6
is_in:country,6
real_ale,6
name:fr,6
KSJ2:long,6
3dshapes:ggmodelk,5
recycling:plastic,5
operator:en,5
sub_sea,5
payment:coins,5
name:de,5
toilets:access,5
updated,5
capacity:disabled,5
image,5
fuel:biogas,4
social_facility,4
recycling:magazines,4
surveillance,4
wikipedia:en,4
drive_in,4
microbrewery,4
fuel:electricity,4
recycling:cans,4
recycling:newspaper,4
fuel:HGV_diesel,4
subway,4
train,4
fuel:e10,4
recycling:glass_bottles,4
platforms,4
identifiable_factor:historical_significance,3
is_in:zip,3
recycling:paper_packaging,3
salb:name,3
KSJ2:RAS,3
name:ku,3
is_in:continent,3
source:ja,3
cladr:code,3
contact:fax,3
addr:floor,3
source:url,3
recycling:plastic_packaging,3
tower:type,3
tramtracker,3
recycling:plastic_bottles,3
identifiable_factor:cultural_significance,3
latitude,3
building_type,3
id,3
KSJ2:LOC,3
identifiable_factor:visibility,3
identifiable_factor:type,3
longitude,3
collection_times,3
population,3
bicycle,3
salb:adm1name,3
fuel:octane_100,3
operator:ru,3
brewery,3
identifiable_factor:size,3
salb:id,3
salb:adm2name,3
KSJ2:segment,3
sangis:TYPE,3
identifiable_factor:age,3
addr:suburb,3
sangis:OBJECTID,3
recycling:cartons,3
foot,3
identifiable_factor:shape,3
building:roof,2
exit,2
source:addr,2
is_capital,2
material,2
tobacco,2
uic_name,2
clothes,2
entrance,2
payment:electronic_purses,2
gnis:ST_alpha,2
is_in:country_code,2
alt_name:es,2
drink:club-mate,2
gnis:County_num,2
roof:shape,2
CLC:code,2
official_name,2
temporary,2
canvec:CODE,2
sauna,2
ruins,2
gnis:County,2
addr:suite,2
name_1,2
name:is,2
ntd_id,2
gtfs_stop_code,2
source:ref,2
capital,2
fuel:e85,2
uic_ref,2
CLC:id,2
service:bicycle:repair,2
wikipedia:fr,2
gtfs_id,2
canvec:UUID,2
wetland,2
webpage,2
ref:CEF,2
name:zh,2
CLC:year,2
gnis:id,2
gnis:Class,2
construction,2
spa,2
motorcar,2
motorcycle,2
backrest,2
dcgis:capturedate,2
country,2
monument,2
seats,2
full_name,2
was_in:zh,2
generator:source,2
import_uuid,2
was_in,2
refugee,2
is_in:state_code,2
fuel:GTL_diesel,2
colour,2
name:sv,2
dirve-through,2
automated,2
telephone,2
name:zh-py,2
gnis:ST_num,2
service:bicycle:retail,2
dc-gis:pubdate,2
is_in:zh,2
diet:vegetarian,2
captureyear,2
time,2
massage,2
addr-country,2
name:et,1
KSJ2:DFC_label,1
wpt_symbol,1
payment:cards,1
building:structure,1
IATA,1
KSJ2:PRC,1
LandPro08:LC_NAME,1
parking:condition,1
oa:version,1
building:obm,1
carryout,1
KSJ2:curve_type,1
boat,1
outside_seating,1
name:th,1
LandPro08:DE3,1
recycling:shoes,1
building:entrances,1
length,1
building:use,1
KSJ2:ARE,1
map_type,1
building:min_level,1
KSJ2:DFC,1
pitch,1
horse,1
faaid,1
capacity:parent,1
wikipedia:de,1
addr-street,1
vending_contents,1
is_in:province,1
architect,1
name:uk,1
contact:address,1
menu,1
396460900,1
KSJ2:BDC,1
neme,1
AND_nodes,1
building:material,1
wood,1
KSJ2:forest_id,1
museum,1
source:outline,1
uva:layer,1
is_in:municipality,1
seamark:type,1
route,1
LandPro08:LU_NAME,1
service,1
roof:colour,1
fuel:ethanol,1
census:population,1
name:jp,1
self_service,1
addr:province,1
line,1
payment:mastercard,1
cusiine,1
operator:ja,1
disused,1
retail,1
contact:twitter,1
source:phone,1
cadastre:utilization,1
seamark:beacon_special_purpose:colour_pattern,1
caltrans:district,1
address,1
wheelchair:toilets,1
lot_no,1
URL,1
landmark:property,1
landmark,1
stamping_machine,1
nadoloni:id,1
drive-in,1
post_box:type,1
nat_ref,1
source:real_cider,1
KSJ2:BDC_label,1
caltrans:pctuse,1
addr:place,1
moneo:loading,1
cuisine2,1
copyright,1
photo,1
elevator,1
ref:FR:LaPoste,1
width,1
recycling:waste,1
KSJ2:PRC_label,1
AND_nosr_p,1
stop_name,1
building:level,1
service:bicycle:cleaning,1
nation,1
LandPro08:LCLU,1
KSJ2:curve_id,1
medical,1
fuel:1_25,1
gnis:feature,1
oa:imported_by,1
outdoor_se,1
capacity:women,1
outdoor,1
authority,1
building:walls,1
artist_name,1
real_cider,1
tactle_paving,1
power_source,1
building:colour,1
LandPro08:DE5,1
FR:ERP:PS,1
seamark:beacon_special_purpose:colour,1
military,1
source:addr:housenumber,1
operator_1,1
payment:visa,1
high_capacity,1
gnis:fcode,1
menu_languages,1
loc_name,1
