key,count
name,19863
amenity,12335
shop,5513
source,4152
addr:street,2907
addr:city,2877
cuisine,2316
addr:postcode,2245
addr:housenumber,2016
highway,1716
addr:country,1584
addr:state,1564
outdoor_seating,1000
wheelchair,993
phone,895
takeaway,833
atm,740
smoking,691
tourism,685
covered,670
internet_access,669
leisure,595
description,588
drive_through,577
vending,573
office,564
website,484
opening_hours,468
operator,467
brand,415
power,297
man_made,270
food,261
capacity,228
fee,213
delivery,211
craft,209
parking,206
surface,192
railway,157
historic,154
religion,145
bridge,138
fixme,134
aeroway,133
natural,132
barrier,117
bicycle_parking,114
contact:email,103
addr:unit,95
dispensing,94
network,92
emergency,90
note,70
fax,64
sport,49
access,49
denomination,46
public_transport,45
park_ride,42
traffic_calming,38
car_wash,37
ref,29
collection_time,22
fuel,21
waterway,18
attribution,17
place,16
height,9
building:levels,3
